distinct_fullvisitorid,distinct_visitid,occurrences
10004498231716653634,1551999563,1
10020587727252197559,1552171468,1
10022092180701703760,1551566777,1
10023235785606908547,1551479549,1
10027303044631019485,1552603358,1
10036203796823923095,1551479870,1
10037256417648801319,1552601875,1
10038914875989320763,1552170851,1
10039302894245277808,1552517568,1
10041724835150645257,1551567109,1
10047700349554775201,1551740163,1
10051525193860591186,1551478763,1
10051790596979763292,1551567296,1
10052025618996463763,1552171921,1
10056135789264426661,1552257764,1
10057208452733894297,1551653405,1
10058022870034251416,1551913023,1
10065628433765992184,1552257597,1
10069706199707471068,1551567036,1
10072509129925665656,1552431492,1
1007523812632178119,1551825666,1
1007603097843377924,1551825309,1
10077676753937117067,1551651332,1
10079594449392545356,1552256924,1
1008041278759562726,1552085776,1
10088479292813635632,1552516889,1
1009092354348576799,1552343725,1
10094621570465582328,1551999330,1
10098686597072124132,1552516248,1
10099628868569456073,1551481030,1
10102538644580632168,1551826700,1
10102849890859881109,1552603475,1
10105592261932450907,1551480169,1
10110100681610557424,1552602938,3
10110100681610557424,1551913127,3
10110100681610557424,1552172307,3
10113954332827250726,1551740298,1
10117796837188248789,1551565480,1
10118369901758651068,1552344297,1
10121019168207512123,1552517004,1
10122232166385204155,1552338183,1
10124508513789074828,1552604234,1
10133676107011423962,1551997930,1
10136074717142336919,1552085661,1
1013910367330625997,1551996472,1
101416191500032737,1551565418,1
1014913689255448768,1552258201,1
10150332247429903124,1552515155,1
10153568261210339665,1552602131,1
1015618377860890225,1552258209,1
10158796917505660137,1552431555,1
10164089831117387195,1552256126,2
10164089831117387195,1552344970,2
10169982888386739614,1552171278,1
10170766841661261476,1552085836,1
10173382237496633244,1552344621,1
10184174825437019117,1551478109,1
10184566116054284582,1552516471,1
10185029377172963799,1551650928,1
10189717048527531712,1552344901,1
10196332735048642577,1552430833,1
10199605417690795008,1552085676,1
10203412423147847649,1551653515,1
10205700853532109544,1551999587,1
10206345924504495719,1551911534,1
10212360478665948461,1551910281,1
10217817519844143745,1552085696,1
10217818690851539244,1552517539,1
10223652266507769964,1551823900,2
10223652266507769964,1551738269,2
10228698306708743993,1552082955,1
10236300635265890807,1552172277,1
10236461113953622483,1551997482,1
10236918671872240485,1551911715,1
10239432335069483998,1551825223,1
102396718843893828,1552603449,1
10240161647016332693,1552516999,1
10248624940495943172,1551565952,1
10254981629362941574,1552084958,1
10267880220577514538,1552517221,1
10267981620876188784,1552170579,1
10268259717315902153,1551652472,1
10270361813918039148,1551476938,1
10270515827689268682,1551739497,1
1027178322528036195,1551999465,1
10274300800013303618,1552431525,1
10278575808992601706,1552431551,1
10283115840659695172,1551480761,1
1028334245908235866,1552427708,1
10285565606554453569,1552085092,1
10303856905658090738,1551480225,1
10308343194437788343,1552603880,1
10308467686940379314,1552344406,1
10322984540967667407,1551653643,1
10323040660650658932,1552600574,1
10323585760682959294,1551565895,1
10328205785318608236,1551480842,2
10328205785318608236,1551825824,2
10329171840098021587,1552085182,2
10329171840098021587,1551998965,2
10329647999772992749,1551567163,1
10330478834717082612,1551566186,1
10337712952327563296,1551653802,1
1036097250911752716,1551653436,2
1036097250911752716,1551567139,2
10370256043888913120,1552603987,1
10372936729714437254,1551653988,1
10375893050019096794,1551996878,1
10382101732207969608,1552257369,1
10382422368061643896,1552258764,1
10388043717610634537,1552604395,1
10389202110785066395,1551653948,1
10396862586759023628,1552256016,1
10401286076555137824,1551653401,1
1040363872598439781,1551653610,1
10404779839591761160,1551567128,1
10410416370884285326,1551566910,1
10411563235419234541,1552516171,1
10420171576532817601,1551740314,1
10420829721784787542,1552255855,1
10431392545526857625,1552345115,1
10433270140074312887,1552428788,1
10441889071158865022,1551909807,1
10443960830090109404,1552171766,1
1044517787755763507,1552258192,1
1044602398633117413,1551738479,1
1044779288888444421,1552603678,1
10448809127679911864,1552171681,1
10449294428925529324,1552429757,1
10453607506336575954,1552345053,1
10454108524746226133,1551740307,2
10454108524746226133,1552258382,2
10465930550368553675,1552084938,1
10466063602103432659,1552258432,1
10471330387118645272,1551999212,1
10474450294840282988,1552082878,1
10485031428540061817,1551652211,1
10485628964766907804,1552082629,1
10495603936390516372,1551565760,1
10497151528260938364,1551652536,1
1050014789494370553,1552343550,1
10505963725179391757,1551911814,1
10509116746501019425,1551820815,1
10512933573314373187,1552603260,1
10512965206147514737,1552085850,1
10515379965339347053,1551481134,1
10516582756016361884,1552085215,1
10520970813562944154,1552258572,1
10535785473863347382,1552431598,1
1053650485798422645,1552172382,2
1053650485798422645,1551912820,2
10538091120710459618,1552517883,1
10540031233533767723,1552517838,1
10540618788038092998,1551999367,1
