sessionID,visitStartTime_ts,app_complete_ts,ts_diff_minutes
1551737515_14291365412932715232,2019-03-04 23:03:05 UTC,2019-03-04 23:03:05 UTC,0
1551737515_14291365412932715232,2019-03-04 22:11:55 UTC,2019-03-04 23:03:05 UTC,51
1552255022_10704081335831507475,2019-03-10 23:01:05 UTC,2019-03-10 23:01:05 UTC,0
1552255022_10704081335831507475,2019-03-10 21:57:02 UTC,2019-03-10 23:01:05 UTC,64
1552004202_17756117032595112792,2019-03-08 00:16:42 UTC,2019-03-08 00:16:42 UTC,0
1552601991_2014071720436465749,2019-03-14 23:00:40 UTC,2019-03-14 23:00:40 UTC,0
1552601991_2014071720436465749,2019-03-14 22:19:51 UTC,2019-03-14 23:00:40 UTC,40
1552601991_2014071720436465749,2019-03-14 23:00:40 UTC,2019-03-14 23:01:41.917 UTC,1
1552601991_2014071720436465749,2019-03-14 22:19:51 UTC,2019-03-14 23:01:41.917 UTC,41
1552600965_16815085593725159140,2019-03-14 23:01:28 UTC,2019-03-14 23:01:28 UTC,0
1552600965_16815085593725159140,2019-03-14 22:02:45 UTC,2019-03-14 23:01:28 UTC,58
1552600965_16815085593725159140,2019-03-14 23:01:28 UTC,2019-03-14 23:03:32.487 UTC,2
1552600965_16815085593725159140,2019-03-14 22:02:45 UTC,2019-03-14 23:03:32.487 UTC,60
1551652019_3522223076408896417,2019-03-03 23:01:43 UTC,2019-03-03 23:01:43 UTC,0
1551652019_3522223076408896417,2019-03-03 22:26:59 UTC,2019-03-03 23:01:43 UTC,34
1551652019_3522223076408896417,2019-03-03 23:01:43 UTC,2019-03-03 23:02:14.411 UTC,0
1551652019_3522223076408896417,2019-03-03 22:26:59 UTC,2019-03-03 23:02:14.411 UTC,35
1552170401_6072994411664426448,2019-03-09 23:02:18 UTC,2019-03-09 23:02:18 UTC,0
1552170401_6072994411664426448,2019-03-09 22:26:41 UTC,2019-03-09 23:02:18 UTC,35
1552170401_6072994411664426448,2019-03-09 23:02:18 UTC,2019-03-09 23:03:36.744 UTC,1
1552170401_6072994411664426448,2019-03-09 22:26:41 UTC,2019-03-09 23:03:36.744 UTC,36
1551650067_17880401332759140120,2019-03-03 23:00:42 UTC,2019-03-03 23:00:42 UTC,0
1551650067_17880401332759140120,2019-03-03 21:54:27 UTC,2019-03-03 23:00:42 UTC,66
1551650067_17880401332759140120,2019-03-03 23:00:42 UTC,2019-03-03 23:02:44.728 UTC,2
1551650067_17880401332759140120,2019-03-03 21:54:27 UTC,2019-03-03 23:02:44.728 UTC,68
1551650067_17880401332759140120,2019-03-03 23:00:42 UTC,2019-03-03 23:03:34.859 UTC,2
1551650067_17880401332759140120,2019-03-03 21:54:27 UTC,2019-03-03 23:03:34.859 UTC,69
1552601869_898712853572923489,2019-03-14 23:09:32 UTC,2019-03-14 23:09:32 UTC,0
1552601869_898712853572923489,2019-03-14 22:17:49 UTC,2019-03-14 23:09:32 UTC,51
1552601869_898712853572923489,2019-03-14 23:09:32 UTC,2019-03-14 23:17:34.110 UTC,8
1552601869_898712853572923489,2019-03-14 22:17:49 UTC,2019-03-14 23:17:34.110 UTC,59
1552601869_898712853572923489,2019-03-14 23:09:32 UTC,2019-03-14 23:19:39.613 UTC,10
1552601869_898712853572923489,2019-03-14 22:17:49 UTC,2019-03-14 23:19:39.613 UTC,61
1552170297_3823682405931782367,2019-03-09 23:03:08 UTC,2019-03-09 23:03:08 UTC,0
1552170297_3823682405931782367,2019-03-09 22:24:57 UTC,2019-03-09 23:03:08 UTC,38
1552170297_3823682405931782367,2019-03-09 23:03:08 UTC,2019-03-09 23:03:08.953 UTC,0
1552170297_3823682405931782367,2019-03-09 22:24:57 UTC,2019-03-09 23:03:08.953 UTC,38
1552170297_3823682405931782367,2019-03-09 23:03:08 UTC,2019-03-09 23:03:24.765 UTC,0
1552170297_3823682405931782367,2019-03-09 22:24:57 UTC,2019-03-09 23:03:24.765 UTC,38
1552256224_7640169846218636099,2019-03-10 23:00:08 UTC,2019-03-10 23:00:08 UTC,0
1552256224_7640169846218636099,2019-03-10 22:17:04 UTC,2019-03-10 23:00:08 UTC,43
1552256224_7640169846218636099,2019-03-10 23:00:08 UTC,2019-03-10 23:00:34.967 UTC,0
1552256224_7640169846218636099,2019-03-10 22:17:04 UTC,2019-03-10 23:00:34.967 UTC,43
1552256224_7640169846218636099,2019-03-10 23:00:08 UTC,2019-03-10 23:01:14.475 UTC,1
1552256224_7640169846218636099,2019-03-10 22:17:04 UTC,2019-03-10 23:01:14.475 UTC,44
1552256224_7640169846218636099,2019-03-10 23:00:08 UTC,2019-03-10 23:02:23.251 UTC,2
1552256224_7640169846218636099,2019-03-10 22:17:04 UTC,2019-03-10 23:02:23.251 UTC,45
1551480225_10303856905658090738,2019-03-01 23:00:04 UTC,2019-03-01 23:00:04 UTC,0
1551480225_10303856905658090738,2019-03-01 22:43:45 UTC,2019-03-01 23:00:04 UTC,16
1551480225_10303856905658090738,2019-03-01 23:00:04 UTC,2019-03-01 23:00:09.604 UTC,0
1551480225_10303856905658090738,2019-03-01 22:43:45 UTC,2019-03-01 23:00:09.604 UTC,16
1551480225_10303856905658090738,2019-03-01 23:00:04 UTC,2019-03-01 23:00:15.218 UTC,0
1551480225_10303856905658090738,2019-03-01 22:43:45 UTC,2019-03-01 23:00:15.218 UTC,16
1551480225_10303856905658090738,2019-03-01 23:00:04 UTC,2019-03-01 23:00:54.934 UTC,0
1551480225_10303856905658090738,2019-03-01 22:43:45 UTC,2019-03-01 23:00:54.934 UTC,17
1551480225_10303856905658090738,2019-03-01 23:00:04 UTC,2019-03-01 23:01:06.952 UTC,1
1551480225_10303856905658090738,2019-03-01 22:43:45 UTC,2019-03-01 23:01:06.952 UTC,17
1551480225_10303856905658090738,2019-03-01 23:00:04 UTC,2019-03-01 23:01:31.976 UTC,1
1551480225_10303856905658090738,2019-03-01 22:43:45 UTC,2019-03-01 23:01:31.976 UTC,17
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:13:19.930 UTC,3
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:13:21.922 UTC,3
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:13:24.251 UTC,3
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:13:27.114 UTC,3
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:14:32.350 UTC,4
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:15:30.022 UTC,5
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:08.649 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:11.218 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:18.650 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:22.168 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:26.110 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:28.412 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:30.615 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:35.291 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:37.444 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:41.588 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:43.813 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:45.486 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:48.117 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:50.652 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:17:55.476 UTC,7
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:18:18.606 UTC,8
1552090198_17219236229765224824,2019-03-09 00:09:58 UTC,2019-03-09 00:19:00.327 UTC,9
